run_id,epoch,step,loss_total,disc_loss,dur_loss,ce_loss,mel_loss,f0_loss,val_loss,acoustic_norm,grad_norm_msd,grad_norm_mpd,grad_norm_decoder,grad_norm_style_encoder,skip_count
t0006_run03_v6c,0,0,,,,,,,,0.3604,,,,,
t0006_run03_v6c,1,10,0.1501,0.0,9.66929,0.26508,3.65292,10.97912,,,,,,,
t0006_run03_v6c,1,20,0.15094,0.0,3.92817,0.1155,2.57742,9.29504,,,,,,,
t0006_run03_v6c,1,30,0.15075,0.0,1.78141,0.06774,2.48124,4.3637,,,,,,,
t0006_run03_v6c,1,0,,,0.716,,,5.058,1.643,0.355,,,,,
t0006_run03_v6c,2,10,0.14989,0.0,0.94683,0.04983,2.37112,4.29775,,,,,,,
t0006_run03_v6c,2,20,0.14974,0.0,0.62927,0.04161,3.02095,4.54415,,,,,,,
t0006_run03_v6c,2,30,0.15004,0.0,0.45992,0.03288,2.45257,4.41911,,,,,,,
t0006_run03_v6c,2,0,,,0.042,,,4.219,1.659,0.3551,,,,,
t0006_run03_v6c,3,10,0.14979,0.0,0.39606,0.02496,2.4524,4.49924,,,,,,,
t0006_run03_v6c,3,20,0.14985,0.0,0.3322,0.02129,3.03363,4.76396,,,,,,,
t0006_run03_v6c,3,30,0.14987,0.0,0.29457,0.01707,2.40632,4.3803,,,,,,,
t0006_run03_v6c,3,0,,,0.054,,,4.327,1.644,0.3551,,,,,
t0006_run03_v6c,4,0,,,0.097,,,5.779,0.884,9.7514,,,,,
t0006_run03_v6c,5,0,,,0.042,,,7.191,0.911,9.2957,,,,,
t0006_run03_v6c,6,0,,,0.034,,,7.227,0.849,6.078,,,,,
t0006_run03_v6c,7,0,,,0.027,,,7.346,0.883,6.4172,,,,,
t0006_run03_v6c,8,0,,,0.025,,,7.16,0.997,10.3139,,,,,
t0006_run03_v6c,9,0,,,0.017,,,6.336,2.309,5.2367,,,,,
t0006_run03_v6c,10,0,,,0.015,,,7.229,3.743,3.9714,,,,,
